Full Name,Abbreviation,League,Mascot,City
Atlanta Hawks,ATL,NBA,Hawks,Atlanta
Boston Celtics,BOS,NBA,Celtics,Boston
Brooklyn Nets,BKN,NBA,Nets,Brooklyn
Charlotte Hornets,CHA,NBA,Hornets,Charlotte
Chicago Bulls,CHI,NBA,Bulls,Chicago
Cleveland Cavaliers,CLE,NBA,Cavaliers,Cleveland
Dallas Mavericks,DAL,NBA,Mavericks,Dallas
Denver Nuggets,DEN,NBA,Nuggets,Denver
Detroit Pistons,DET,NBA,Pistons,Detroit
Golden State Warriors,GSW,NBA,Warriors,Golden State
Houston Rockets,HOU,NBA,Rockets,Houston
Indiana Pacers,IND,NBA,Pacers,Indiana
Los Angeles Clippers,LAC,NBA,Clippers,Los Angeles
Los Angeles Lakers,LAL,NBA,Lakers,Los Angeles
Memphis Grizzlies,MEM,NBA,Grizzlies,Memphis
Miami Heat,MIA,NBA,Heat,Miami
Milwaukee Bucks,MIL,NBA,Bucks,Milwaukee
Minnesota Timberwolves,MIN,NBA,mberwolves,Minnesota
New Orleans Pelicans,NOP,NBA,Pelicans,New Orleans
New York Knicks,NYK,NBA,Knicks,New York
Oklahoma City Thunder,OKC,NBA,Thunder,Oklahoma City
Orlando Magic,ORL,NBA,Magic,Orlando
Philadelphia 76ers,PHI,NBA,76ers,Philadelphia
Phoenix Suns,PHX,NBA,Suns,Phoenix
Portland Trail Blazers,POR,NBA,Blazers,Portland Trail
Sacramento Kings,SAC,NBA,Kings,Sacramento
San Antonio Spurs,SAS,NBA,Spurs,San Antonio
Toronto Raptors,TOR,NBA,Raptors,Toronto
Utah Jazz,UTA,NBA,Jazz,Utah
Washington Wizards,WAS,NBA,Wizards,Washington
Anaheim Ducks,ANA,NHL,Ducks,Anaheim
Arizona Coyotes,ARI,NHL,Coyotes,Arizona
Boston Bruins,BOS,NHL,Bruins,Boston
Buffalo Sabres,BUF,NHL,Sabres,Buffalo
Carolina Hurricanes,CAR,NHL,Hurricanes,Carolina
Columbus Blue Jackets,CBJ,NHL,Jackets,Columbus Blue
Calgary Flames,CGY,NHL,Flames,Calgary
Chicago Blackhawks,CHI,NHL,Blackhawks,Chicago
Colorado Avalanche,COL,NHL,Avalanche,Colorado
Dallas Stars,DAL,NHL,Stars,Dallas
Detroit Red Wings,DET,NHL,Wings,Detroit Red
Edmonton Oilers,EDM,NHL,Oilers,Edmonton
Florida Panthers,FLA,NHL,Panthers,Florida
Los Angeles Kings,LAK,NHL,Kings,Los Angeles
Minnesota Wild,MIN,NHL,Wild,Minnesota
Montreal Canadiens,MTL,NHL,Canadiens,Montreal
New Jersey Devils,NJD,NHL,Devils,New Jersey
Nashville Predators,NSH,NHL,Predators,Nashville
New York Islands,NYI,NHL,Islands,New York
New York Rangers,NYR,NHL,Rangers,New York
Ottawa Senators,OTT,NHL,Senators,Ottawa
Philadelphia Flyers,PHI,NHL,Flyers,Philadelphia
Pittsburgh Penguins,PIT,NHL,Penguins,Pittsburgh
Seattle Kraken,SEA,NHL,Kraken,Seattle
San Jose Sharks,SJS,NHL,Sharks,San Jose
St. Louis Blues,STL,NHL,Blues,St. Louis
Tampa Bay Lightning,TBL,NHL,Lightning,Tampa Bay
Toronto Maple Leafs,TOR,NHL,Leafs,Toronto Maple
Vancouver Canucks,VAN,NHL,Canucks,Vancouver
Vegas Golden Knights,VGK,NHL,Knights,Vegas Golden
Winnipeg Jets,WPG,NHL,Jets,Winnipeg
Washington Capitals,WSH,NHL,Capitals,Washington
Arizona Cardinals,ARI,NFL,Cardinals,Arizona
Atlanta Falcons,ATL,NFL,Falcons,Atlanta
Baltimore Ravens,BAL,NFL,Ravens,Baltimore
Buffalo Bills,BUF,NFL,Bills,Buffalo
Carolina Panthers,CAR,NFL,Panthers,Carolina
Chicago Bears,CHI,NFL,Bears,Chicago
Cincinnati Bengals,CIN,NFL,Bengals,Cincinnati
Cleveland Browns,CLE,NFL,Browns,Cleveland
Dallas Cowboys,DAL,NFL,Cowboys,Dallas
Denver Broncos,DEN,NFL,Broncos,Denver
Detroit Lions,DET,NFL,Lions,Detroit
Green Bay Packers,GB,NFL,Packers,Green Bay
Houston Texans,HOU,NFL,Texans,Houston
Indianapolis Colts,IND,NFL,Colts,Indianapolis
Jacksonville Jaguars,JAX,NFL,Jaguars,Jacksonville
Kansas City Chiefs,KC,NFL,Chiefs,Kansas City
Las Vegas Raiders,LV,NFL,Raiders,Las Vegas
Los Angeles Chargers,LAC,NFL,Chargers,Los Angeles
Los Angeles Rams,LAR,NFL,Rams,Los Angeles
Miami Dolphins,MIA,NFL,Dolphins,Miami
Minnesota Vikings,MIN,NFL,Vikings,Minnesota
New England Patriots,NE,NFL,Patriots,New England
New Orleans Saints,NO,NFL,Saints,New Orleans
New York Giants,NYG,NFL,Giants,New York
New York Jets,NYJ,NFL,Jets,New York
Philadelphia Eagles,PHI,NFL,Eagles,Philadelphia
Pittsburgh Steelers,PIT,NFL,Steelers,Pittsburgh
San Francisco 49ers,SF,NFL,49ers,San Francisco
Seattle Seahawks,SEA,NFL,Seahawks,Seattle
Tampa Bay Buccaneers,TB,NFL,Buccaneers,Tampa Bay
Tennessee Titans,TEN,NFL,Titans,Tennessee
Washington Commanders,WAS,NFL,Commanders,Washington
Arizona Diamondbacks,ARI,MLB,amondbacks,Arizona
Atlanta Braves,ATL,MLB,Braves,Atlanta
Baltimore Orioles,BAL,MLB,Orioles,Baltimore
Boston Red Sox,BOS,MLB,Sox,Boston Red
Chicago Cubs,CHC,MLB,Cubs,Chicago
Chicago White Sox,CWS,MLB,Sox,Chicago White
